Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.76156587870852E-17,0.0467175982070512,-0.0168254421867033,0,0,0,17.3933362350418,0.337915674228058,-7.81330125875324E-17,1.54478474433002E-17,0.208438455790422,-0.010965737795741,0.472941667516184,0,0,0,0,0,0,package://Rover URDF 2/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/base_link.STL,Al,Chassis with Differential Link-1/Chassis-1;Chassis with Differential Link-1/6004-2rsh_c3-1/6004-2rsh_c3_01-1;Chassis with Differential Link-1/6004-2rsh_c3-1/6004-2rsh_c3_03-1;Chassis with Differential Link-1/6004-2rsh_c3-1/6004-2rsh_c3_02-1;Chassis with Differential Link-1/6004-2rsh_c3-2/6004-2rsh_c3_01-1;Chassis with Differential Link-1/6004-2rsh_c3-2/6004-2rsh_c3_04-1;Chassis with Differential Link-1/6004-2rsh_c3-2/6004-2rsh_c3_02-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"r ",-0.0528293740299838,-0.0369993344482766,0.0925553949271129,0,0,0,0.479976857340313,0.0002684480103162,-5.10659596201636E-06,1.16964214427658E-05,0.000227208471549639,2.02876604514654E-05,0.000207000784772728,0,0,0,0,0,0,package://Rover URDF 2/meshes/r .STL,1,1,1,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/r .STL,,Rocker Bogie Right-1/New Final Rocker-1;Wheel-1/Wheel Bracket-1;Wheel-1/DSSERVO_150kg_80kg_60kg-1;Wheel-1/smaller_bracket-1;Wheel-1/servo_motor_arm-1,Coordinate System1,Axis12,"rocker right ",revolute,-0.18477,-0.00045952,0.0019143,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
br,0.0660281956075046,-0.031577548135821,-5.4959781580724E-05,0,0,0,0.488834513386826,0.000162512276259982,4.69136060831496E-06,4.20570858499299E-09,0.000223576113532464,1.88265168081904E-09,0.000180254840121132,0,0,0,0,0,0,package://Rover URDF 2/meshes/br.STL,1,1,1,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/br.STL,,Rocker Bogie Right-1/Bogie-1;Wheel-3/Wheel Bracket-1;Wheel-3/DSSERVO_150kg_80kg_60kg-1;Wheel-3/smaller_bracket-1;Wheel-2/DSSERVO_150kg_80kg_60kg-1;Wheel-2/Wheel Bracket-1;Wheel-2/smaller_bracket-1;Wheel-3/servo_motor_arm-1;Wheel-2/servo_motor_arm-1;Rocker Bogie Right-1/6004-2rsh_c3-1/6004-2rsh_c3_02-1;Rocker Bogie Right-1/6004-2rsh_c3-1/6004-2rsh_c3_03-1;Rocker Bogie Right-1/6004-2rsh_c3-1/6004-2rsh_c3_01-1,Coordinate System2,Axis13,bogie right,revolute,-0.0513,-0.035531,-0.12496,3.1416,0,3.1416,"r ",-1,0,0,0,0,0,0,,,,,,,,
k2,0.0277347709100249,-0.0460321764088263,0.00272958204260286,0,0,0,0.197947153134174,9.40494231589237E-05,1.13088567153166E-05,1.05217458621705E-05,0.000108566454238213,-8.14156170767663E-06,0.000113938229240378,0,0,0,0,0,0,package://Rover URDF 2/meshes/k2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/k2.STL,,wheel_with_bracket-4/johnson geard12vdc motor-1;Wheel-2/c_bracket_for_new_motor-1;wheel_with_bracket-4/motor_coupling-1;wheel_with_bracket-4/motor_bracket-1,Coordinate System7,,knuckle middle right,revolute,0.081304,-0.070466,-0.12509,3.1416,0,3.1416,br,-1,0,0,0,0,0,0,,,,,,,,
w2,5.55111512312578E-17,-5.55111512312578E-17,-0.0231384304657898,0,0,0,0.176367720481545,0.00034526741393032,-4.60785923306339E-19,-2.27092973354478E-19,0.00034526741393032,8.8173183992747E-20,0.000544847276715027,0,0,0,0,0,0,package://Rover URDF 2/meshes/w2.STL,0,0,0,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/w2.STL,,wheel_with_bracket-4/wheel_rim_simple-1,Origin_middle wheel r,Axis2,middle wheel r,continuous,-0.0275,-0.081998,0.00113,-1.5708,-0.75491,1.5708,k2,0,0,-1,0,0,0,0,,,,,,,,
k3,0.0277347709100239,-0.0460425125231622,0.00254929865160272,0,0,0,0.197947153134174,9.40494231589236E-05,1.126756674189E-05,1.05659507812935E-05,0.000108630300999785,-8.16234776695546E-06,0.000113874382478806,0,0,0,0,0,0,package://Rover URDF 2/meshes/k3.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/k3.STL,,Wheel-3/c_bracket_for_new_motor-1;wheel_with_bracket-5/motor_coupling-1;wheel_with_bracket-5/johnson geard12vdc motor-1;wheel_with_bracket-5/motor_bracket-1,Coordinate System8,,knuckle rear right,revolute,0.081304,-0.070717,0.12506,3.1416,0,3.1416,br,-1,0,0,0,0,0,0,,,,,,,,
w3,1.11022302462516E-16,-2.77555756156289E-17,-0.0231384304657899,0,0,0,0.176367720481545,0.000345267413930319,-1.62630325872826E-19,-5.92451993839295E-19,0.000345267413930319,-1.5242671512467E-19,0.000544847276715027,0,0,0,0,0,0,package://Rover URDF 2/meshes/w3.STL,0,0,0,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/w3.STL,,wheel_with_bracket-5/wheel_rim_simple-1,Origin_rear wheel r,Axis3,rear wheel r,continuous,-0.0275,-0.082002,0.00080887,-1.5708,-0.75882,1.5708,k3,0,0,-1,,,,,,,,,,,,
k1,0.0277347709100222,-0.046084853164144,0.0016118907841069,0,0,0,0.197947153134174,9.40494231589245E-05,1.1050236274078E-05,1.0793037314988E-05,0.000108964580909495,-8.26227384525686E-06,0.000113540102569095,0,0,0,0,0,0,package://Rover URDF 2/meshes/k1.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/k1.STL,,Wheel-1/c_bracket_for_new_motor-1;wheel_with_bracket-1/motor_coupling-1;wheel_with_bracket-1/motor_bracket-1;wheel_with_bracket-1/johnson geard12vdc motor-1,Coordinate System6,,knuckle front right,revolute,-0.13261,-0.10574,0.24918,0,0,0,"r ",-1,0,0,0,0,0,0,,,,,,,,
w1,2.77555756156289E-17,5.55111512312578E-17,-0.0231384304657901,0,0,0,0.176367720481545,0.00034526741393032,-4.60785923306339E-19,-3.92157903355024E-19,0.00034526741393032,-1.43099898387464E-20,0.000544847276715027,0,0,0,0,0,0,package://Rover URDF 2/meshes/w1.STL,0,0,0,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/w1.STL,,wheel_with_bracket-1/wheel_rim_simple-1,Origin_front wheel r,Axis1,front wheel r,continuous,-0.0275,-0.082002,-0.00085989,-1.5708,-0.77917,1.5708,k1,0,0,-1,,,,,,,,,,,,
l,-0.00501787010546079,-0.027022486009701,0.055360926811983,0,0,0,0.792753531618369,0.000481803497140253,2.00412581024276E-06,-2.52159181031589E-08,0.000365883577977072,3.9736666295368E-05,0.000339920167772138,0,0,0,0,0,0,package://Rover URDF 2/meshes/l.STL,1,1,1,1,0,0,0,0,0,0,package://Rover URDF 2/meshes/l.STL,,Rocker Bogie Left-2/New Final Rocker Left-1;Rocker Bogie Left-2/6004-2rsh_c3-1;Wheel-6/Wheel Bracket-1;Wheel-6/smaller_bracket-1;Wheel-6/DSSERVO_150kg_80kg_60kg-1;Wheel-6/servo_motor_arm-1,Coordinate System3,Axis10,rocker left,revolute,0.18562,0,0,1.5708,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
