system_time,time,pos,curr
1751555321.1394074,8293.0,0.0,0.39
1751555321.1394074,8303.0,0.0,0.39
1751555321.1541958,8313.0,0.0,0.39
1751555321.1651416,8324.0,0.0,0.39
1751555321.1782942,8334.0,0.0,0.39
1751555321.1782942,8344.0,0.0,0.39
1751555321.1975882,8354.0,0.0,0.39
1751555321.2040298,8365.0,0.0,0.39
1751555321.2140312,8375.0,0.0,0.39
1751555321.2298226,8385.0,0.0,0.39
1751555321.2298226,8395.0,0.0,0.39
1751555321.2462184,8406.0,0.0,0.39
1751555321.2562156,8416.0,0.0,0.39
1751555321.2615588,8426.0,0.0,0.39
1751555321.278167,8436.0,0.0,0.39
1751555321.2907577,8446.0,0.0,0.39
1751555321.2982824,8457.0,0.0,0.39
1751555321.3106103,8467.0,0.0,0.39
1751555321.317229,8477.0,0.0,0.39
1751555321.3284628,8487.0,0.0,0.29
1751555321.3367467,8498.0,0.0,0.29
1751555321.3463588,8507.0,0.0,0.29
1751555321.3578503,8517.0,0.0,0.29
1751555321.3616211,8527.0,0.0,0.29
1751555321.3805664,8538.0,0.0,0.29
1751555321.3885252,8548.0,0.0,0.29
1751555321.3970802,8558.0,0.0,0.39
1751555321.4134724,8568.0,0.0,0.39
1751555321.4134724,8579.0,0.0,0.39
1751555321.4305687,8589.0,0.0,0.39
1751555321.4421737,8599.0,0.0,0.39
1751555321.444984,8609.0,0.0,0.39
1751555321.4624755,8620.0,0.0,0.39
1751555321.4631078,8630.0,0.0,0.39
1751555321.4820058,8640.0,0.0,0.39
1751555321.4953907,8650.0,0.0,0.39
1751555321.501902,8660.0,0.0,0.39
1751555321.5151904,8671.0,0.0,0.39
1751555321.5223982,8681.0,0.0,0.39
1751555321.5360496,8691.0,0.0,0.39
1751555321.544099,8701.0,0.0,0.39
1751555321.5546055,8712.0,0.0,0.39
1751555321.5649657,8722.0,0.0,0.39
1751555321.5775065,8731.0,0.0,0.39
1751555321.5817564,8741.0,0.0,0.39
1751555321.597636,8752.0,0.0,0.39
1751555321.6052547,8762.0,0.0,0.39
1751555321.6152632,8772.0,0.0,0.39
1751555321.6274471,8782.0,-1.0,0.39
1751555321.6307826,8793.0,-6.0,0.39
1751555321.6476886,8803.0,-16.0,0.39
1751555321.6549418,8813.0,-31.0,505.27
1751555321.665913,8823.0,-50.0,505.27
1751555321.680091,8834.0,-74.0,505.27
1751555321.680853,8845.0,-103.0,505.27
1751555321.6958838,8855.0,-137.0,505.27
1751555321.707373,8865.0,-176.0,505.27
1751555321.7136898,8876.0,-218.0,986.91
1751555321.72955,8886.0,-265.0,986.91
1751555321.7420743,8897.0,-316.0,986.91
1751555321.7496016,8907.0,-370.0,986.91
1751555321.7618318,8918.0,-429.0,986.91
1751555321.7742345,8928.0,-491.0,986.91
1751555321.7830613,8938.0,-557.0,991.99
1751555321.7953439,8949.0,-627.0,991.99
1751555321.7976565,8960.0,-700.0,991.99
1751555321.8149152,8970.0,-776.0,991.99
1751555321.8224385,8980.0,-856.0,991.99
1751555321.8297079,8991.0,-939.0,991.99
1751555321.8441737,9001.0,-1025.0,1003.03
1751555321.855226,9012.0,-1114.0,1003.03
1751555321.8638785,9022.0,-1207.0,1003.03
1751555321.8770707,9033.0,-1303.0,1003.03
1751555321.884239,9043.0,-1401.0,1003.03
1751555321.896735,9055.0,-1502.0,1003.03
1751555321.9079676,9065.0,-1606.0,964.26
1751555321.9132252,9075.0,-1711.0,964.26
1751555321.9309843,9085.0,-1818.0,964.26
1751555321.94259,9097.0,-1926.0,964.26
1751555321.9462917,9107.0,-2036.0,964.26
1751555321.9630218,9117.0,-2146.0,964.26
1751555321.9712913,9128.0,-2257.0,805.08
1751555321.9807267,9139.0,-2369.0,805.08
1751555321.9952796,9149.0,-2483.0,805.08
1751555322.0021052,9160.0,-2597.0,805.08
