system_time,frame_number
1751556280.5322077,1
1751556280.8702042,2
1751556280.8876896,3
1751556280.9182744,4
1751556280.9767134,5
1751556281.0086346,6
1751556281.0309289,7
1751556281.063694,8
1751556281.1002202,9
1751556281.1267505,10
1751556281.16151,11
1751556281.1925547,12
1751556281.2359707,13
1751556281.2574277,14
1751556281.2936587,15
1751556281.3203852,16
1751556281.370143,17
1751556281.4037604,18
1751556281.4415188,19
1751556281.4703414,20
1751556281.5036588,21
1751556281.5380933,22
1751556281.5685053,23
1751556281.594416,24
1751556281.6373062,25
1751556281.6649463,26
1751556281.6875024,27
1751556281.7267818,28
1751556281.762938,29
1751556281.8025239,30
1751556281.845029,31
1751556281.8752158,32
1751556281.9030473,33
1751556281.9309347,34
1751556281.9713247,35
1751556282.0028493,36
1751556282.0298514,37
1751556282.0543997,38
1751556282.1002798,39
1751556282.1192,40
1751556282.1519017,41
1751556282.209035,42
1751556282.2316346,43
1751556282.2738996,44
1751556282.3070931,45
1751556282.3325524,46
1751556282.372415,47
1751556282.3976202,48
1751556282.4258375,49
1751556282.4693427,50
1751556282.4985442,51
1751556282.5200126,52
1751556282.5529563,53
1751556282.6031451,54
1751556282.6353803,55
1751556282.663148,56
1751556282.710035,57
1751556282.7294881,58
1751556282.7600582,59
1751556282.8013833,60
1751556282.836934,61
1751556282.8650806,62
1751556282.8904188,63
1751556282.933782,64
1751556282.962504,65
1751556283.003481,66
1751556283.0318663,67
1751556283.077483,68
1751556283.1075609,69
1751556283.128468,70
1751556283.16265,71
1751556283.197093,72
1751556283.2349632,73
1751556283.262403,74
1751556283.2988732,75
1751556283.3205848,76
1751556283.353546,77
1751556283.395775,78
1751556283.4428184,79
1751556283.4679327,80
1751556283.497354,81
1751556283.5337734,82
1751556283.570017,83
1751556283.602392,84
1751556283.6277883,85
1751556283.6708791,86
1751556283.7004004,87
1751556283.7210827,88
1751556283.7632537,89
1751556283.792126,90
1751556283.8283637,91
1751556283.8761218,92
1751556283.9026291,93
1751556283.9358735,94
1751556283.969231,95
1751556284.0013232,96
1751556284.0221055,97
1751556284.0640814,98
1751556284.0906887,99
1751556284.1188042,100
1751556284.1615126,101
1751556284.1933422,102
1751556284.2415173,103
1751556284.264679,104
1751556284.3057208,105
1751556284.328321,106
1751556284.3593972,107
1751556284.3966231,108
1751556284.4293175,109
1751556284.4639246,110
1751556284.4924793,111
1751556284.5184639,112
1751556284.5586596,113
1751556284.585738,114
1751556284.618131,115
1751556284.6751826,116
1751556284.7044675,117
1751556284.7284482,118
1751556284.761825,119
1751556284.7918303,120
1751556284.838138,121
1751556284.8671267,122
1751556284.9015927,123
1751556284.9319365,124
1751556284.9608066,125
1751556284.9876266,126
1751556285.0160155,127
1751556285.0655613,128
1751556285.096836,129
1751556285.1423974,130
1751556285.162766,131
1751556285.2039628,132
1751556285.2273998,133
1751556285.2681518,134
1751556285.3017871,135
1751556285.3337703,136
1751556285.3586988,137
1751556285.3969336,138
1751556285.4163098,139
1751556285.4744189,140
1751556285.5032742,141
1751556285.527945,142
1751556285.5713103,143
1751556285.5916753,144
1751556285.6338317,145
1751556285.6632087,146
1751556285.7004073,147
1751556285.737302,148
1751556285.753653,149
1751556285.7836697,150
1751556285.8191285,151
1751556285.8660986,152
1751556285.9058142,153
1751556285.9378066,154
1751556285.9608698,155
1751556286.0035486,156
1751556286.0263362,157
1751556286.066998,158
1751556286.1006944,159
1751556286.1306875,160
1751556286.1546264,161
1751556286.1941576,162
1751556286.2149222,163
1751556286.248127,164
1751556286.303685,165
1751556286.3383038,166
1751556286.3691669,167
1751556286.4037416,168
1751556286.4298103,169
1751556286.46805,170
1751556286.4983346,171
1751556286.5218651,172
1751556286.563223,173
1751556286.5922751,174
1751556286.6200101,175
1751556286.6527963,176
1751556286.7097144,177
1751556286.727379,178
1751556286.7700868,179
1751556286.7960708,180
1751556286.83608,181
1751556286.8678017,182
1751556286.8880098,183
1751556286.920031,184
1751556286.9549482,185
1751556286.9852934,186
1751556287.0197906,187
1751556287.0472407,188
1751556287.1080189,189
1751556287.1374245,190
1751556287.1722763,191
1751556287.1949966,192
1751556287.2242334,193
1751556287.2670114,194
1751556287.2940555,195
1751556287.3202033,196
1751556287.3532224,197
1751556287.3913136,198
1751556287.4266944,199
1751556287.4474652,200
1751556287.5027232,201
1751556287.5395298,202
1751556287.562367,203
1751556287.6023126,204
1751556287.6292548,205
1751556287.6651042,206
1751556287.6978714,207
1751556287.7335734,208
1751556287.7528465,209
1751556287.7850928,210
1751556287.8168283,211
1751556287.852143,212
1751556287.8834956,213
1751556287.9291008,214
1751556287.9656672,215
1751556288.0044944,216
1751556288.033761,217
1751556288.0667682,218
1751556288.1015587,219
1751556288.1317344,220
1751556288.1615531,221
1751556288.1874857,222
1751556288.2196836,223
1751556288.2504888,224
1751556288.2846487,225
1751556288.327636,226
1751556288.3612664,227
1751556288.4049146,228
1751556288.4271886,229
1751556288.468971,230
1751556288.4872365,231
1751556288.529602,232
1751556288.5531628,233
