system_time,time,pos,curr
1751556280.5322077,8283.0,0.0,0.39
1751556280.5322077,8293.0,0.0,0.39
1751556280.5536878,8303.0,0.0,0.39
1751556280.5678725,8313.0,0.0,0.39
1751556280.5698807,8324.0,0.0,0.39
1751556280.5867326,8334.0,0.0,0.39
1751556280.5944405,8344.0,0.0,0.39
1751556280.603183,8354.0,0.0,0.39
1751556280.6170306,8365.0,0.0,0.39
1751556280.6235583,8375.0,0.0,0.39
1751556280.6356027,8385.0,0.0,0.39
1751556280.64411,8395.0,0.0,0.39
1751556280.651388,8406.0,0.0,0.39
1751556280.669816,8416.0,0.0,0.39
1751556280.669816,8426.0,0.0,0.39
1751556280.6848032,8436.0,0.0,0.39
1751556280.6970172,8446.0,0.0,0.39
1751556280.7013304,8457.0,0.0,0.39
1751556280.7189584,8467.0,0.0,0.39
1751556280.7189584,8477.0,0.0,0.39
1751556280.738168,8487.0,0.0,0.39
1751556280.7513368,8498.0,0.0,0.39
1751556280.7513368,8507.0,0.0,0.39
1751556280.7699249,8517.0,0.0,0.39
1751556280.7784696,8527.0,0.0,0.39
1751556280.7846944,8538.0,0.0,0.39
1751556280.8013287,8548.0,0.0,0.39
1751556280.8017013,8558.0,0.0,0.39
1751556280.8202336,8568.0,0.0,0.39
1751556280.8336866,8579.0,0.0,0.39
1751556280.841784,8589.0,0.0,0.39
1751556280.8522391,8599.0,0.0,0.39
1751556280.8522391,8609.0,0.0,0.39
1751556280.874637,8620.0,0.0,0.39
1751556280.8806667,8630.0,0.0,0.39
1751556280.8909657,8640.0,0.0,0.39
1751556280.9027963,8650.0,0.0,0.39
1751556280.915964,8660.0,0.0,0.39
1751556280.9228718,8671.0,0.0,0.39
1751556280.936337,8681.0,0.0,0.39
1751556280.9424415,8691.0,0.0,0.39
1751556280.9571254,8701.0,0.0,0.39
1751556280.9657032,8712.0,0.0,0.39
1751556280.9729118,8722.0,0.0,0.39
1751556280.9858673,8731.0,0.0,0.39
1751556280.9858673,8741.0,0.0,0.39
1751556281.0037966,8752.0,0.0,0.39
1751556281.0127435,8762.0,0.0,0.39
1751556281.0179882,8772.0,0.0,0.39
1751556281.034687,8782.0,0.0,0.39
1751556281.0430117,8793.0,0.0,0.39
1751556281.0530305,8803.0,0.0,0.39
1751556281.066862,8813.0,0.0,0.39
1751556281.0703518,8823.0,0.0,0.39
1751556281.0864902,8834.0,0.0,0.39
1751556281.0944743,8844.0,0.0,0.39
1751556281.1076982,8854.0,0.0,0.39
1751556281.114578,8864.0,0.0,0.39
1751556281.1285024,8875.0,0.0,0.39
1751556281.1369355,8885.0,0.0,0.39
1751556281.1434326,8895.0,0.0,0.39
1751556281.1574209,8905.0,0.0,0.39
1751556281.169657,8915.0,0.0,0.39
1751556281.1737242,8926.0,0.0,0.39
1751556281.189472,8936.0,0.0,0.39
1751556281.1962285,8946.0,0.0,0.39
1751556281.2055254,8955.0,0.0,0.39
1751556281.2192082,8966.0,0.0,0.39
1751556281.2305572,8976.0,0.0,0.39
1751556281.239963,8986.0,0.0,0.39
1751556281.2518134,8996.0,0.0,0.39
1751556281.2595248,9007.0,0.0,0.39
1751556281.2701888,9017.0,0.0,0.39
1751556281.2796893,9027.0,0.0,12.01
1751556281.29213,9037.0,1.0,12.01
1751556281.3012824,9048.0,2.0,12.01
1751556281.3081152,9058.0,7.0,12.01
1751556281.3203852,9068.0,15.0,12.01
1751556281.333863,9078.0,27.0,12.01
1751556281.3416157,9089.0,41.0,12.01
1751556281.3521051,9099.0,58.0,685.25
1751556281.3521051,9109.0,78.0,685.25
1751556281.370143,9120.0,101.0,685.25
1751556281.3838148,9131.0,125.0,685.25
1751556281.386848,9141.0,153.0,685.25
1751556281.4037604,9151.0,183.0,685.25
1751556281.4145966,9161.0,215.0,705.76
1751556281.4228516,9171.0,250.0,705.76
1751556281.4363618,9183.0,286.0,705.76
1751556281.4439857,9193.0,325.0,705.76
1751556281.457368,9203.0,365.0,705.76
1751556281.468274,9213.0,408.0,705.76
1751556281.4745781,9224.0,452.0,648.14
1751556281.4867544,9234.0,499.0,648.14
1751556281.496852,9245.0,547.0,648.14
1751556281.5077047,9255.0,596.0,648.14
1751556281.5175233,9266.0,647.0,648.14
1751556281.5312495,9276.0,700.0,648.14
1751556281.5420933,9286.0,754.0,608.59
1751556281.5516794,9297.0,809.0,608.59
1751556281.563227,9308.0,866.0,608.59
1751556281.571658,9318.0,924.0,608.59
1751556281.5837998,9328.0,983.0,608.59
1751556281.5920315,9338.0,1044.0,608.59
1751556281.6046054,9350.0,1106.0,564.36
1751556281.6097205,9360.0,1168.0,564.36
1751556281.623511,9370.0,1233.0,564.36
