system_time,time,pos,curr,dt,velocity,Filtered Velocity,
1751558188,8254,0,0.39,0,0,0,
1751558188,8264,0,0.39,10,0,0,
1751558188,8274,0,0.39,10,0,0,
1751558188,8285,0,0.29,11,0,0,
1751558188,8295,0,0.29,10,0,0,
1751558188,8305,0,0.29,10,0,0,
1751558188,8315,0,0.29,10,0,0,
1751558188,8326,0,0.29,11,0,0,
1751558188,8336,0,0.29,10,0,0,
1751558188,8346,0,0.39,10,0,0,
1751558188,8356,0,0.39,10,0,0,
1751558188,8367,0,0.39,11,0,0,
1751558188,8377,0,0.39,10,0,0,
1751558188,8387,0,0.39,10,0,0,
1751558188,8397,0,0.39,10,0,0,
1751558188,8408,0,0.39,11,0,0,
1751558189,8418,0,0.39,10,0,0,
1751558189,8428,0,0.39,10,0,0,
1751558189,8438,0,0.39,10,0,0,
1751558189,8449,0,0.39,11,0,0,
1751558189,8459,0,0.39,10,0,0,
1751558189,8469,0,0.39,10,0,0,
1751558189,8479,0,0.39,10,0,0,
1751558189,8488,0,0.39,9,0,0,
1751558189,8499,0,0.39,11,0,0,
1751558189,8509,0,0.39,10,0,0,
1751558189,8519,0,0.39,10,0,0,
1751558189,8529,0,0.39,10,0,0,
1751558189,8540,0,0.29,11,0,0,
1751558189,8550,0,0.29,10,0,0,
1751558189,8560,0,0.29,10,0,0,
1751558189,8570,0,0.29,10,0,0,
1751558189,8581,0,0.29,11,0,0,
1751558189,8591,0,0.29,10,0,0,
1751558189,8601,0,0.29,10,0,0,
1751558189,8611,0,0.29,10,0,0,
1751558189,8622,0,0.29,11,0,0,
1751558189,8632,0,0.29,10,0,0,
1751558189,8642,0,0.29,10,0,0,
1751558189,8652,0,0.29,10,0,0,
1751558189,8663,0,0.29,11,0,0,
1751558189,8673,-4,159.28,10,-0.4,-0.029536,
1751558189,8683,-17,159.28,10,-1.3,-0.187495709,
1751558189,8693,-42,159.28,10,-2.5,-0.600378031,
1751558189,8704,-76,159.28,11,-3.090909091,-1.278901133,
1751558189,8714,-121,159.28,10,-4.5,-2.141435334,
1751558189,8724,-177,159.28,10,-5.6,-3.154545886,
1751558189,8735,-244,1875.2,11,-6.090909091,-4.230396218,
1751558189,8745,-322,1875.2,10,-7.8,-5.29307582,
