system_time,time,vt,vFilt,pos,curr
1757419433.4350824,6366.0,10.0,0.0,0.0,-0.29
1757419433.437512,8112.0,10.0,0.0,0.0,-0.29
1757419433.4387147,8176.0,10.0,0.0,0.0,-0.29
1757419433.4527671,8188.0,10.0,0.0,0.0,-0.29
1757419433.4527671,8202.0,10.0,0.0,0.0,-0.29
1757419433.4782014,8214.0,10.0,0.0,0.0,-0.29
1757419433.490624,8227.0,10.0,0.0,0.0,-0.29
1757419433.5006871,8240.0,10.0,0.0,0.0,-0.29
1757419433.5126925,8253.0,10.0,0.0,0.0,-0.29
1757419433.5164647,8266.0,10.0,0.0,0.0,-0.29
1757419433.5364063,8279.0,10.0,0.0,0.0,-0.29
1757419433.554066,8292.0,10.0,0.0,0.0,-0.29
1757419433.5639102,8304.0,10.0,0.0,0.0,-0.29
1757419433.5799234,8317.0,10.0,0.0,0.0,-0.29
1757419433.583961,8330.0,10.0,0.0,0.0,-0.29
1757419433.595983,8343.0,10.0,0.0,0.0,-0.29
1757419433.611742,8355.0,10.0,0.0,0.0,-0.29
1757419433.6276703,8369.0,10.0,0.0,0.0,-0.29
1757419433.644106,8381.0,10.0,0.0,0.0,-0.29
1757419433.644106,8394.0,10.0,0.0,0.0,-0.29
1757419433.659048,8407.0,10.0,0.0,0.0,-0.29
1757419433.6751661,8420.0,10.0,0.0,0.0,-0.29
1757419433.6911252,8433.0,10.0,0.0,0.0,-0.29
1757419433.707682,8445.0,10.0,0.0,0.0,-0.29
1757419433.7198443,8459.0,10.0,0.0,0.0,-0.29
1757419433.7229173,8471.0,10.0,0.0,0.0,-0.29
1757419433.7387743,8484.0,10.0,0.0,0.0,-0.29
1757419433.75486,8497.0,10.0,0.0,0.0,-0.29
1757419433.7707224,8510.0,10.0,0.0,0.0,-0.29
1757419433.7866158,8522.0,10.0,0.0,0.0,-0.29
1757419433.7950413,8536.0,10.0,0.0,0.0,-0.29
1757419433.8106635,8548.0,10.0,0.0,0.0,-0.29
1757419433.822648,8561.0,10.0,0.0,0.0,-0.29
