system_time,time,pos,curr
1750422364.520907,148088.0,0.0,0.39
1750422364.520907,148128.0,0.0,0.39
1750422365.4610975,1.0,0.0,0.39
1750422365.4933412,2.0,0.0,0.39
1750422365.5309062,24.0,0.0,0.39
1750422365.5628462,60.0,0.0,0.39
1750422365.600466,96.0,0.0,0.39
1750422365.637169,131.0,0.0,0.39
1750422365.6741138,167.0,0.0,0.39
1750422365.7069168,203.0,0.0,0.39
1750422365.7438533,240.0,0.0,0.39
1750422365.778833,276.0,0.0,0.29
1750422365.8131795,313.0,0.0,0.29
1750422365.8542016,349.0,0.0,0.39
1750422365.8907993,386.0,0.0,0.39
1750422365.927396,421.0,0.0,0.39
1750422365.9643707,458.0,0.0,0.39
1750422365.995542,495.0,0.0,0.39
1750422366.033999,531.0,0.0,0.39
1750422366.0716841,568.0,0.0,0.39
1750422366.1077304,604.0,0.0,0.39
1750422366.1454167,641.0,0.0,0.39
1750422366.1815095,676.0,0.0,0.39
1750422366.2181807,713.0,0.0,0.39
1750422366.2549763,749.0,0.0,0.39
1750422366.2928019,786.0,0.0,0.39
1750422366.324782,822.0,0.0,0.39
1750422366.3622944,859.0,0.0,0.29
1750422366.3898525,896.0,0.0,0.39
1750422366.4358346,931.0,0.0,0.39
1750422366.4731324,968.0,0.0,0.39
1750422366.5088465,1004.0,0.0,0.39
1750422366.5456178,1042.0,0.0,0.39
1750422366.5787876,1079.0,0.0,0.39
1750422366.6120844,1117.0,0.0,0.39
1750422366.6570752,1154.0,0.0,0.39
1750422366.6963456,1191.0,0.0,0.39
1750422366.7350068,1229.0,0.0,0.39
1750422366.7719977,1266.0,0.0,0.39
1750422366.8082142,1304.0,0.0,0.39
1750422366.845344,1341.0,0.0,0.39
1750422366.8782814,1379.0,0.0,0.39
1750422366.9233277,1416.0,0.0,0.39
1750422366.9603858,1454.0,0.0,0.39
1750422366.9969265,1491.0,0.0,0.39
1750422367.0247254,1528.0,0.0,0.39
1750422367.063149,1566.0,0.0,0.39
1750422367.107474,1603.0,0.0,0.39
1750422367.1423047,1641.0,0.0,0.39
1750422367.1853778,1678.0,0.0,0.39
1750422367.2214262,1716.0,0.0,0.39
1750422367.258581,1753.0,0.0,0.39
1750422367.2954054,1790.0,0.0,0.39
1750422367.3287313,1828.0,0.0,0.39
1750422367.3621786,1865.0,0.0,0.39
1750422367.406601,1903.0,0.0,0.39
1750422367.444285,1940.0,0.0,0.39
1750422367.4844878,1978.0,0.0,0.39
1750422367.521357,2015.0,0.0,0.39
1750422367.557652,2053.0,0.0,0.39
1750422367.5944643,2091.0,0.0,0.39
1750422367.6295822,2127.0,0.0,0.39
1750422367.6603043,2165.0,0.0,0.39
1750422367.7099392,2202.0,0.0,0.39
1750422367.7402923,2240.0,0.0,0.39
1750422367.7835665,2277.0,0.0,0.39
1750422367.8203275,2315.0,0.0,0.39
1750422367.8567557,2352.0,0.0,0.39
1750422367.8937595,2390.0,0.0,0.39
1750422367.9290378,2427.0,0.0,0.39
1750422367.9566364,2464.0,0.0,0.39
1750422368.0080755,2502.0,0.0,0.39
1750422368.0448956,2539.0,0.0,0.39
1750422368.0818346,2577.0,0.0,0.39
1750422368.112279,2614.0,0.0,0.39
1750422368.1562371,2652.0,0.0,0.39
1750422368.1928897,2690.0,0.0,0.39
1750422368.2287111,2726.0,0.0,0.39
1750422368.2710764,2764.0,0.0,0.39
1750422368.30699,2801.0,0.0,0.39
1750422368.3447354,2839.0,0.0,0.39
1750422368.373472,2876.0,0.0,0.39
1750422368.4129276,2914.0,0.0,0.39
1750422368.4549556,2951.0,0.0,0.39
1750422368.4925907,2989.0,0.0,0.39
1750422368.5328336,3026.0,0.0,0.39
1750422368.569962,3063.0,0.0,0.39
1750422368.6069624,3101.0,0.0,0.39
1750422368.6435905,3138.0,0.0,0.39
1750422368.6788526,3176.0,0.0,0.39
1750422368.7120566,3213.0,0.0,0.29
1750422368.7427971,3251.0,0.0,0.29
1750422368.7952209,3289.0,0.0,0.39
1750422368.8319886,3325.0,0.0,0.39
1750422368.868431,3363.0,0.0,0.39
1750422368.906011,3400.0,0.0,0.39
1750422368.9422324,3438.0,0.0,0.39
1750422368.9731724,3475.0,0.0,0.39
1750422369.0121527,3513.0,0.0,0.39
1750422369.057527,3550.0,0.0,0.39
1750422369.0940216,3588.0,0.0,0.39
1750422369.1289802,3625.0,0.0,0.39
1750422369.1623988,3662.0,0.0,0.39
1750422369.2050042,3700.0,0.0,0.39
1750422369.2416794,3737.0,0.0,0.39
1750422369.277865,3775.0,0.0,0.39
1750422369.3193567,3812.0,0.0,0.39
1750422369.3557293,3850.0,0.0,0.39
1750422369.3923757,3888.0,0.0,0.39
