system_time,time,pos,curr,angular_pos,position(cm),angular_vel,linear_vel
1751365569.0464737,3818.0,0.0,0.39,-0.0,-0.0,-0.0,-0.0
1751365569.0546813,3828.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.06326,3838.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.0751731,3849.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.0751731,3859.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.0967941,3869.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1054826,3879.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1168032,3890.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.124631,3900.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.125641,3910.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1447163,3920.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1572287,3931.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1617687,3941.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1757276,3951.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1757276,3961.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.1989315,3972.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2073884,3982.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2192862,3991.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2262573,4001.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2397733,4012.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2483742,4022.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2602994,4032.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2615607,4042.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2808266,4052.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.283797,4063.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.2941651,4073.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3102052,4083.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3111258,4093.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3308012,4104.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3418362,4114.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3475296,4124.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3595736,4134.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3711052,4145.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3792977,4155.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3917925,4165.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.3981583,4175.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.4095476,4186.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.4159865,4196.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.4300904,4206.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.4300904,4215.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.4517982,4226.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.4607952,4236.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.465725,4246.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.4814603,4256.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.493861,4267.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.498707,4277.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.5145943,4287.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.5175178,4297.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.5315094,4307.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.5426364,4318.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.5483098,4328.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.564333,4338.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.5760977,4348.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.580363,4359.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.5965164,4369.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.5983913,4379.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.613454,4389.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.625268,4400.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.6327677,4410.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.6449983,4420.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.6568255,4430.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.6659782,4440.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.6779573,4450.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.6865826,4460.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.6988618,4470.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.7041395,4481.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.7173824,4491.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.7273207,4501.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.7297971,4511.0,0.0,0.39,-0.0,-0.0,0.0,0.0
1751365569.7466054,4521.0,0.0,0.29,-0.0,-0.0,0.0,0.0
1751365569.76047,4532.0,0.0,0.29,-0.0,-0.0,0.0,0.0
